seed=0 N=     1      sdr: 1.0000 (β=100, gain=16, k=40, 500問)
seed=0 N= 10000 sdr-dict: 0.9997 (β=0, gain=16, k=640, 10000問)
seed=0 N= 10000     none: 0.0174 (β=0, gain=0, k=40, 10000問)
seed=1 N=     1      sdr: 1.0000 (β=100, gain=16, k=40, 500問)
seed=1 N=     1    dense: 1.0000 (β=100, gain=16, k=40, 500問)
seed=1 N=     1   cortex: 1.0000 (β=100, gain=16, k=40, 500問)
seed=1 N=     1     dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=1 N=     1 sdr-dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=1 N=     1     none: 0.0040 (β=0, gain=0, k=40, 500問)
seed=1 N=    10      sdr: 1.0000 (β=100, gain=64, k=160, 500問)
seed=1 N=    10    dense: 1.0000 (β=10000, gain=16, k=40, 500問)
seed=1 N=    10   cortex: 1.0000 (β=10000, gain=16, k=40, 500問)
seed=1 N=    10     dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=1 N=    10 sdr-dict: 1.0000 (β=0, gain=16, k=160, 500問)
seed=1 N=    10     none: 0.0180 (β=0, gain=0, k=40, 500問)
seed=1 N=   100      sdr: 1.0000 (β=1000, gain=16, k=160, 500問)
seed=1 N=   100    dense: 1.0000 (β=10000, gain=64, k=40, 500問)
seed=1 N=   100   cortex: 1.0000 (β=100000, gain=16, k=40, 500問)
seed=1 N=   100     dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=1 N=   100 sdr-dict: 1.0000 (β=0, gain=16, k=160, 500問)
seed=1 N=   100     none: 0.0140 (β=0, gain=0, k=40, 500問)
seed=1 N=  1000      sdr: 1.0000 (β=1000, gain=16, k=640, 1000問)
seed=1 N=  1000    dense: 1.0000 (β=100000, gain=16, k=40, 1000問)
seed=1 N=  1000   cortex: 1.0000 (β=100000, gain=16, k=40, 1000問)
seed=1 N=  1000     dict: 1.0000 (β=0, gain=16, k=40, 1000問)
seed=1 N=  1000 sdr-dict: 1.0000 (β=0, gain=16, k=640, 1000問)
seed=1 N=  1000     none: 0.0200 (β=0, gain=0, k=40, 1000問)
seed=1 N= 10000      sdr: 0.9999 (β=10000, gain=16, k=640, 10000問)
seed=1 N= 10000    dense: 1.0000 (β=100000, gain=16, k=40, 10000問)
seed=1 N= 10000   cortex: 1.0000 (β=100000, gain=16, k=40, 10000問)
seed=1 N= 10000     dict: 1.0000 (β=0, gain=16, k=40, 10000問)
seed=1 N= 10000 sdr-dict: 0.9999 (β=0, gain=16, k=640, 10000問)
seed=1 N= 10000     none: 0.0166 (β=0, gain=0, k=40, 10000問)
seed=2 N=     1      sdr: 1.0000 (β=100, gain=16, k=40, 500問)
seed=2 N=     1    dense: 1.0000 (β=100, gain=16, k=40, 500問)
seed=2 N=     1   cortex: 1.0000 (β=100, gain=16, k=40, 500問)
seed=2 N=     1     dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=2 N=     1 sdr-dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=2 N=     1     none: 0.0120 (β=0, gain=0, k=40, 500問)
seed=2 N=    10      sdr: 1.0000 (β=1000, gain=16, k=160, 500問)
seed=2 N=    10    dense: 1.0000 (β=10000, gain=16, k=40, 500問)
seed=2 N=    10   cortex: 1.0000 (β=10000, gain=16, k=40, 500問)
seed=2 N=    10     dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=2 N=    10 sdr-dict: 1.0000 (β=0, gain=16, k=160, 500問)
seed=2 N=    10     none: 0.0220 (β=0, gain=0, k=40, 500問)
seed=2 N=   100      sdr: 1.0000 (β=1000, gain=16, k=640, 500問)
seed=2 N=   100    dense: 1.0000 (β=10000, gain=16, k=40, 500問)
seed=2 N=   100   cortex: 1.0000 (β=10000, gain=16, k=40, 500問)
seed=2 N=   100     dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=2 N=   100 sdr-dict: 1.0000 (β=0, gain=16, k=640, 500問)
seed=2 N=   100     none: 0.0160 (β=0, gain=0, k=40, 500問)
seed=2 N=  1000      sdr: 1.0000 (β=1000, gain=16, k=640, 1000問)
seed=2 N=  1000    dense: 1.0000 (β=100000, gain=16, k=40, 1000問)
seed=2 N=  1000   cortex: 1.0000 (β=100000, gain=16, k=40, 1000問)
seed=2 N=  1000     dict: 1.0000 (β=0, gain=16, k=40, 1000問)
seed=2 N=  1000 sdr-dict: 1.0000 (β=0, gain=16, k=640, 1000問)
seed=2 N=  1000     none: 0.0090 (β=0, gain=0, k=40, 1000問)
seed=2 N= 10000      sdr: 0.9995 (β=10000, gain=16, k=640, 10000問)
seed=2 N= 10000    dense: 1.0000 (β=100000, gain=16, k=40, 10000問)
seed=2 N= 10000   cortex: 1.0000 (β=100000, gain=16, k=40, 10000問)
seed=2 N= 10000     dict: 1.0000 (β=0, gain=16, k=40, 10000問)
seed=2 N= 10000 sdr-dict: 0.9995 (β=0, gain=16, k=640, 10000問)
seed=2 N= 10000     none: 0.0145 (β=0, gain=0, k=40, 10000問)
seed=3 N=     1      sdr: 1.0000 (β=100, gain=16, k=40, 500問)
seed=3 N=     1    dense: 1.0000 (β=100, gain=16, k=40, 500問)
seed=3 N=     1   cortex: 1.0000 (β=100, gain=16, k=40, 500問)
seed=3 N=     1     dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=3 N=     1 sdr-dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=3 N=     1     none: 0.0100 (β=0, gain=0, k=40, 500問)
seed=3 N=    10      sdr: 1.0000 (β=1000, gain=16, k=640, 500問)
seed=3 N=    10    dense: 1.0000 (β=10000, gain=16, k=40, 500問)
seed=3 N=    10   cortex: 1.0000 (β=10000, gain=16, k=40, 500問)
seed=3 N=    10     dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=3 N=    10 sdr-dict: 1.0000 (β=0, gain=16, k=640, 500問)
seed=3 N=    10     none: 0.0180 (β=0, gain=0, k=40, 500問)
seed=3 N=   100      sdr: 1.0000 (β=1000, gain=16, k=640, 500問)
seed=3 N=   100    dense: 1.0000 (β=10000, gain=16, k=40, 500問)
seed=3 N=   100   cortex: 1.0000 (β=10000, gain=16, k=40, 500問)
seed=3 N=   100     dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=3 N=   100 sdr-dict: 1.0000 (β=0, gain=16, k=640, 500問)
seed=3 N=   100     none: 0.0120 (β=0, gain=0, k=40, 500問)
seed=3 N=  1000      sdr: 1.0000 (β=1000, gain=16, k=640, 1000問)
seed=3 N=  1000    dense: 1.0000 (β=100000, gain=16, k=40, 1000問)
seed=3 N=  1000   cortex: 1.0000 (β=100000, gain=16, k=40, 1000問)
seed=3 N=  1000     dict: 1.0000 (β=0, gain=16, k=40, 1000問)
seed=3 N=  1000 sdr-dict: 1.0000 (β=0, gain=16, k=640, 1000問)
seed=3 N=  1000     none: 0.0180 (β=0, gain=0, k=40, 1000問)
seed=3 N= 10000      sdr: 0.9998 (β=10000, gain=16, k=640, 10000問)
seed=3 N= 10000    dense: 1.0000 (β=100000, gain=16, k=40, 10000問)
seed=3 N= 10000   cortex: 1.0000 (β=100000, gain=16, k=40, 10000問)
seed=3 N= 10000     dict: 1.0000 (β=0, gain=16, k=40, 10000問)
seed=3 N= 10000 sdr-dict: 0.9998 (β=0, gain=16, k=640, 10000問)
seed=3 N= 10000     none: 0.0163 (β=0, gain=0, k=40, 10000問)
seed=4 N=     1      sdr: 1.0000 (β=100, gain=16, k=40, 500問)
seed=4 N=     1    dense: 1.0000 (β=100, gain=16, k=40, 500問)
seed=4 N=     1   cortex: 1.0000 (β=100, gain=16, k=40, 500問)
seed=4 N=     1     dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=4 N=     1 sdr-dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=4 N=     1     none: 0.0200 (β=0, gain=0, k=40, 500問)
seed=4 N=    10      sdr: 1.0000 (β=1000, gain=16, k=160, 500問)
seed=4 N=    10    dense: 1.0000 (β=10000, gain=16, k=40, 500問)
seed=4 N=    10   cortex: 1.0000 (β=10000, gain=16, k=40, 500問)
seed=4 N=    10     dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=4 N=    10 sdr-dict: 1.0000 (β=0, gain=16, k=160, 500問)
seed=4 N=    10     none: 0.0260 (β=0, gain=0, k=40, 500問)
seed=4 N=   100      sdr: 1.0000 (β=1000, gain=16, k=640, 500問)
seed=4 N=   100    dense: 1.0000 (β=100000, gain=16, k=40, 500問)
seed=4 N=   100   cortex: 1.0000 (β=100000, gain=16, k=40, 500問)
seed=4 N=   100     dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=4 N=   100 sdr-dict: 1.0000 (β=0, gain=16, k=640, 500問)
seed=4 N=   100     none: 0.0080 (β=0, gain=0, k=40, 500問)
seed=4 N=  1000      sdr: 1.0000 (β=1000, gain=16, k=640, 1000問)
seed=4 N=  1000    dense: 1.0000 (β=100000, gain=16, k=40, 1000問)
seed=4 N=  1000   cortex: 1.0000 (β=100000, gain=16, k=40, 1000問)
seed=4 N=  1000     dict: 1.0000 (β=0, gain=16, k=40, 1000問)
seed=4 N=  1000 sdr-dict: 1.0000 (β=0, gain=16, k=640, 1000問)
seed=4 N=  1000     none: 0.0150 (β=0, gain=0, k=40, 1000問)
seed=4 N= 10000      sdr: 1.0000 (β=1000, gain=64, k=640, 10000問)
seed=4 N= 10000    dense: 1.0000 (β=100000, gain=16, k=40, 10000問)
seed=4 N= 10000   cortex: 1.0000 (β=100000, gain=16, k=40, 10000問)
seed=4 N= 10000     dict: 1.0000 (β=0, gain=16, k=40, 10000問)
seed=4 N= 10000 sdr-dict: 1.0000 (β=0, gain=16, k=640, 10000問)
seed=4 N= 10000     none: 0.0168 (β=0, gain=0, k=40, 10000問)

チャンスレベル 0.0156 / 書き出し: results/hippocampus/recall_curve_noise0.0.json
     sdr  N=1:1.000  N=10:1.000  N=100:1.000  N=1000:1.000  N=10000:1.000
   dense  N=1:1.000  N=10:1.000  N=100:1.000  N=1000:1.000  N=10000:1.000
  cortex  N=1:1.000  N=10:1.000  N=100:1.000  N=1000:1.000  N=10000:1.000
    dict  N=1:1.000  N=10:1.000  N=100:1.000  N=1000:1.000  N=10000:1.000
sdr-dict  N=1:1.000  N=10:1.000  N=100:1.000  N=1000:1.000  N=10000:1.000
    none  N=1:0.014  N=10:0.019  N=100:0.014  N=1000:0.016  N=10000:0.016
